t		x	y	z	Vx	Vy	Vz		x	y	z	Vx	Vy	Vz
8160		-229999112.8	-279999461.6	-69999637.69	0.219533114	0.132539456	0.090226576		84007889.04	-93307758.52	61498551.56	482.1563443	-410.7728095	792.6663822
8220		-229999099.6	-279999453.7	-69999632.28	0.221157707	0.133505351	0.090906914		84036818.42	-93332404.89	61546111.54	482.0242974	-410.8513175	792.6110843
8280		-229999086.4	-279999445.7	-69999626.82	0.222782449	0.134471119	0.091587498		84065739.88	-93357055.97	61593668.21	481.8922384	-410.9298151	792.5557664
8340		-229999073	-279999437.6	-69999621.33	0.22440734	0.135436759	0.092268328		84094653.41	-93381711.76	61641221.55	481.7601672	-411.0083024	792.5004285
8400		-229999059.5	-279999429.5	-69999615.79	0.226032381	0.136402272	0.092949404		84123559.02	-93406372.25	61688771.58	481.6280838	-411.0867792	792.4450707
8460		-229999046	-279999421.3	-69999610.22	0.227657572	0.137367657	0.093630727		84152456.71	-93431037.46	61736318.28	481.4959883	-411.1652457	792.3896928
8520		-229999032.3	-279999413	-69999604.6	0.229282912	0.138332914	0.094312295		84181346.47	-93455707.38	61783861.66	481.3638806	-411.2437019	792.3342949
8580		-229999018.6	-279999404.7	-69999598.94	0.230908401	0.139298044	0.094994109		84210228.3	-93480382	61831401.72	481.2317608	-411.3221476	792.278877
8640		-229999004.7	-279999396.4	-69999593.24	0.23253404	0.140263046	0.095676169		84239102.21	-93505061.33	61878938.45	481.0996289	-411.400583	792.2234392
8700		-229998990.8	-279999388	-69999587.5	0.234159828	0.14122792	0.096358475		84267968.18	-93529745.36	61926471.86	480.9674848	-411.479008	792.1679813
8760		-229998976.7	-279999379.5	-69999581.72	0.235785765	0.142192667	0.097041027		84296826.23	-93554434.1	61974001.94	480.8353286	-411.5574226	792.1125035
8820		-229998962.6	-279999371	-69999575.89	0.237411852	0.143157285	0.097723825		84325676.35	-93579127.55	62021528.69	480.7031602	-411.6358269	792.0570057
8880		-229998948.3	-279999362.4	-69999570.03	0.239038087	0.144121776	0.098406868		84354518.54	-93603825.7	62069052.11	480.5709797	-411.7142207	792.0014879
8940		-229998934	-279999353.7	-69999564.13	0.240664472	0.145086139	0.099090158		84383352.8	-93628528.55	62116572.2	480.4387871	-411.7926042	791.9459501
9000		-229998919.5	-279999345	-69999558.18	0.242291006	0.146050375	0.099773693		84412179.13	-93653236.11	62164088.96	480.3065824	-411.8709772	791.8903923
9060		-229998905	-279999336.3	-69999552.19	0.243917689	0.147014482	0.100457474		84440997.52	-93677948.36	62211602.38	480.1743656	-411.9493399	791.8348146
9120		-229998890.4	-279999327.4	-69999546.17	0.245544521	0.147978462	0.101141501		84469807.98	-93702665.33	62259112.47	480.0421367	-412.0276921	791.7792169
9180		-229998875.6	-279999318.6	-69999540.1	0.247171503	0.148942313	0.101825774		84498610.51	-93727386.99	62306619.22	479.9098956	-412.106034	791.7235992
9240		-229998860.8	-279999309.6	-69999533.99	0.248798633	0.149906037	0.102510292		84527405.11	-93752113.35	62354122.64	479.7776425	-412.1843655	791.6679615
